ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-12-13,JTMAB3FV8SD235454,2025,RAV4 Plug-in Hybrid SE,Available,False,At dealer,47659,Silver Sky Metallic,Black Fabric,507,Toyota of Clovis,https://www.toyotaofclovis.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Cross Bars[installed_msrp] | Weather & Moonroof Package
2024-12-13,JTMEB3FV1SD234678,2025,RAV4 Plug-in Hybrid XSE,Available,False,At dealer,50819,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,2186,A-1 Toyota,https://www.a1toyota.com,True,50 State Emissions | Carpet Mat Package[installed_msrp] | Premium Paint | Quick Charging Cable Package[installed_msrp] | Rear Outboard Heated Seating | Weather Package
2024-12-17,JTMAB3FV1SD234856,2025,RAV4 Plug-in Hybrid SE,Available,False,At dealer,47254,Ice Cap,Black Fabric,1871,West Herr Toyota of Orchard Park,https://www.toyotaorchardpark.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Weather & Moonroof Package
2024-12-17,JTMAB3FV1SD235358,2025,RAV4 Plug-in Hybrid SE,DealerHold,False,At dealer,47659,Silver Sky Metallic,Black Fabric,2251,Toyota of Watertown,https://www.toyotaofwatertown.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Weather & Moonroof Package
2024-12-17,JTMCB3FVXSD234900,2025,RAV4 Plug-in Hybrid SE,DealerHold,False,At dealer,46064,Supersonic Red [extra_cost_color],Black Fabric,1895,Toyota of Batavia,https://www.toyotaofbatavia.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Premium Paint
2024-12-17,JTMEB3FV8SD234614,2025,RAV4 Plug-in Hybrid XSE,Available,False,At dealer,51138,Magnetic Gray Metallic/Midnight Black Metallic Roof,Black Mixed Media,2036,Steet Toyota,https://www.steettoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Rear Outboard Heated Seating | Weather Package
2024-12-18,JTMAB3FV0SD234928,2025,RAV4 Plug-in Hybrid SE,,False,At dealer,47744,Silver Sky Metallic,Black Fabric,2254,Nucar Toyota of Norwood,https://www.nucartoyotanorwood.com,False,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Weather & Moonroof Package
2024-12-18,JTMAB3FV2SD235479,2025,RAV4 Plug-in Hybrid SE,Available,False,At dealer,47584,Midnight Black Metallic,Black Fabric,2152,Rivera Toyota of Mt. Kisco,https://www.riveratoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Mudguards[installed_msrp] | Weather & Moonroof Package
2024-12-18,JTMAB3FV8SD234708,2025,RAV4 Plug-in Hybrid SE,,False,At dealer,47884,Silver Sky Metallic,Black Fabric,2260,ATLANTIC TOYOTA,,False,50 State Emissions | All-Weather Liner Package[installed_msrp] | Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Weather & Moonroof Package
2024-12-18,JTMAB3FVXSD235844,2025,RAV4 Plug-in Hybrid SE,Available,False,At dealer,47744,Midnight Black Metallic,Black Fabric,526,Victory Toyota of San Bruno,https://www.victorytoyotasanbruno.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Cross Bars[installed_msrp] | ELO GPS | Toyota Wheels Lock | Weather & Moonroof Package
2024-12-18,JTMCB3FV7SD234546,2025,RAV4 Plug-in Hybrid SE,,False,At dealer,47128,Midnight Black Metallic,Black Fabric,2176,Toyota of Massapequa,https://www.toyotaofmassapequany.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Body Side Moldings[installed_msrp] | Connected Services Trial Offering: 3 addt'l of Drive Connect & 2 addt'l yrs of Remote Connect[installed_msrp] | Cross Bars[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp]
2024-12-18,JTMEB3FV5SD235106,2025,RAV4 Plug-in Hybrid XSE,DealerHold,False,At dealer,50819,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,2218,Grappone Toyota,https://www.grapponetoyota.com,False,50 State Emissions | Carpet Mat Package[installed_msrp] | Premium Paint | Quick Charging Cable Package[installed_msrp] | Rear Outboard Heated Seating | Weather Package
2024-12-18,JTMFB3FV9SD235193,2025,RAV4 Plug-in Hybrid XSE,Available,False,At dealer,53434,Supersonic Red/Midnight Black Metallic Roof [extra_cost_color],Black SofTex® [softex],2176,Toyota of Massapequa,https://www.toyotaofmassapequany.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Cross Bars[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Premium Paint | Quick Charging Cable Package[installed_msrp] | Weather Package
2024-12-19,JTMAB3FV2SD235000,2025,RAV4 Plug-in Hybrid SE,,False,At dealer,47499,Ice Cap,Black Fabric,1930,Hoselton Toyota,https://www.hoseltontoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Mudguards[installed_msrp] | Weather & Moonroof Package
2024-12-19,JTMAB3FV3SD235331,2025,RAV4 Plug-in Hybrid SE,Available,False,At dealer,48058,Ice Cap,Black Fabric,407,Swickard Toyota,https://www.swickardtoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Cross Bars[installed_msrp] | Mudguards[installed_msrp] | Premium 360SHIELD -PAINTSHIELD AND INTERIORSHIELD | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2024-12-19,JTMAB3FV9SD234684,2025,RAV4 Plug-in Hybrid SE,,False,At dealer,47723,Ice Cap,Black Fabric,2162,Greentree Toyota,https://www.greentreetoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2024-12-19,JTMCB3FV3SD235208,2025,RAV4 Plug-in Hybrid SE,,False,At dealer,45814,Ice Cap,Black Fabric,2112,Lia Toyota of Colonie,https://www.liatoyotaofcolonie.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp]
2024-12-19,JTMCB3FV8SD234796,2025,RAV4 Plug-in Hybrid SE,DealerHold,False,At dealer,45744,Silver Sky Metallic,Black Fabric,2136,Interstate Toyota,https://www.interstatetoyota.net,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Mudguards[installed_msrp]
2024-12-19,JTMEB3FV1SD235152,2025,RAV4 Plug-in Hybrid XSE,Available,False,At dealer,50449,Magnetic Gray Metallic/Midnight Black Metallic Roof,Black Mixed Media,2140,Alderman's Toyota,https://www.aldermanstoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Fog Light Accent[installed_msrp] | Rear Outboard Heated Seating | Weather Package
2024-12-19,JTMEB3FV3SD234603,2025,RAV4 Plug-in Hybrid XSE,,False,At dealer,51447,Silver Sky Metallic/Midnight Black Metallic Roof,Black Mixed Media,2152,Rivera Toyota of Mt. Kisco,https://www.riveratoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Connected Services Trial Offering: 2 addt'l yrs of Drive Connect & Remote Connect[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Weather Package
2024-12-19,JTMEB3FV7SD234782,2025,RAV4 Plug-in Hybrid XSE,,False,At dealer,51014,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,1930,Hoselton Toyota,https://www.hoseltontoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Premium Paint | Rear Outboard Heated Seating | Weather Package
2024-12-19,JTMEB3FV8SD234600,2025,RAV4 Plug-in Hybrid XSE,,False,At dealer,51079,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,1870,Basil Toyota,https://www.basiltoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Premium Paint | Rear Outboard Heated Seating | Weather Package
2024-12-19,JTMEB3FV9SD234654,2025,RAV4 Plug-in Hybrid XSE,,False,At dealer,51894,Supersonic Red/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,2058,Safford Brown Toyota Glen Burnie,https://www.saffordbrowntoyotaglenburnie.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Premium Paint | Rear Outboard Heated Seating | Weather Package
2024-12-19,JTMEB3FVXSD234694,2025,RAV4 Plug-in Hybrid XSE,Available,False,At dealer,51612,Silver Sky Metallic/Midnight Black Metallic Roof,Black Mixed Media,2052,Passport Toyota,https://www.passporttoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Weather Package
2024-12-19,JTMEB3FVXSD234789,2025,RAV4 Plug-in Hybrid XSE,Available,False,At dealer,50364,Magnetic Gray Metallic/Midnight Black Metallic Roof,Black Mixed Media,1930,Hoselton Toyota,https://www.hoseltontoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Rear Outboard Heated Seating | Weather Package
