ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2023-10-24,JTMAB3FV1PD160846,2023,RAV4 Prime SE,Available,False,At dealer,46414,Midnight Black Metallic,Black Fabric,2150,K-M Toyota,https://www.kmmotors.com,False,50 State Emissions | All-Weather Liner Package[installed_msrp] | Weather & Moonroof Package
2024-06-20,JTMAB3FVXRD207245,2024,RAV4 Prime SE,Available,False,At dealer,48892,Midnight Black Metallic,Black Fabric,1445,Yokem Toyota,https://www.yokemtoyota.com,False,** -Port Installed (AWD) | ** -Port Installed (PRM) | 50 State Emissions | All-Weather Liner Package: | Body Side Molding | Connectivity Kit | Cross Bars for Roof Rail | Door Sill Protectors | Mud Guards | PDS - Pre Delivery Services | Spider Cargo Net | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package: | Weather & Moonroof Package
2024-08-12,JTMAB3FV5RD216306,2024,RAV4 Prime SE,DealerHold,False,At dealer,48771,Silver Sky Metallic,Black Fabric,1113,Toyota of Midland,https://www.toyotaofmidland.com,False,** -Port Installed (AWD) | ** -Port Installed (PRM) | 50 State Emissions | All-Weather Liner Package: | AutoInc Prime Protection plus Purigen 98 | Connectivity Kit | Cross Bars for Roof Rail | Door Sill Protectors | Mud Guards | Owner's Portfolio | PDS - with Texas State Inspection | Rear Cargo Organizer | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package: | Weather & Moonroof Package
2024-09-02,JTMAB3FV0RD217251,2024,RAV4 Prime SE,DealerHold,False,At dealer,48276,Midnight Black Metallic,Black Fabric,2072,I-95 Toyota of Brunswick,https://www.i95toyota.com,True,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats with Carpet Cargo Mat | Clear Paint Protection - Door Package | Multimedia Screen Protector | SET Digital Portfolio | TOYOGUARD Platinum | Weather & Moonroof Package -
2024-09-11,JTMEB3FV5RD220017,2024,RAV4 Prime XSE,Available,False,At dealer,51301,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,1265,Toyota of Fort Worth,https://www.toyotaoffortworth.com,False,** -Port Installed (AWD) | ** -Port Installed (CN) | ** -Port Installed (PRM) | 50 State Emissions | All-Weather Liner Package: | Body Side Molding | Connectivity Kit | Cross Bars for Roof Rail | Door Sill Protectors | Mud Guards | PDS - with Texas State Inspection | Special Color | TFW Protection Package | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024-09-14,JTMAB3FV2RD220877,2024,RAV4 Prime SE,Available,False,At dealer,47614,Midnight Black Metallic,Black Fabric,1295,Legacy Toyota of Dallas,https://www.legacytoyotadallas.com,False,** -Port Installed (AWD) | ** -Port Installed (PRM) | 50 State Emissions | Body Side Molding | Connectivity Kit | Premium Carpet Mat Set: | Spider Cargo Net | Vehicle Fueling (4 Gal.) | Weather & Moonroof Package
2024-09-14,JTMAB3FV6RD219778,2024,RAV4 Prime SE,Available,False,At dealer,47948,Midnight Black Metallic,Black Fabric,2189,AutoNation Toyota Winter Park,https://www.autonationtoyotawinterpark.com,True,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | Free Lifetime Powertrain Warranty | SET Digital Portfolio | TOYOGUARD Platinum | Weather & Moonroof Package -
2024-09-21,JTMEB3FV2RD222162,2024,RAV4 Prime XSE,Available,False,At dealer,51301,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,1322,Magness Toyota,https://www.magnesstoyota.com,False,** -Port Installed (AWD) | ** -Port Installed (CN) | ** -Port Installed (PRM) | 50 State Emissions | All-Weather Liner Package: | Body Side Molding | Connectivity Kit | Cross Bars for Roof Rail | Door Sill Protectors | Lemon Law Book | Mud Guards | Owner's Portfolio | PDS - Pre Delivery Services | Special Color | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024-09-21,JTMEB3FV4RD221496,2024,RAV4 Prime XSE,Available,False,At dealer,51301,Supersonic Red/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,1506,Mike Shaw Toyota,https://www.mikeshawtoyota.com,False,** -Port Installed (AWD) | ** -Port Installed (CN) | ** -Port Installed (PRM) | 50 State Emissions | All-Weather Liner Package: | Body Side Molding | Connectivity Kit | Cross Bars for Roof Rail | Door Sill Protectors | Mud Guards | Owner's Portfolio | PDS - with Texas State Inspection | Special Color | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024-09-22,JTMCB3FV0RD222202,2024,RAV4 Prime SE,Available,False,At dealer,46362,Silver Sky Metallic,Black Fabric,2331,Palm Beach Toyota,https://www.palmbeachtoyota.com,True,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | Phone Cable Charge Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-09-23,JTMEB3FV0RD221432,2024,RAV4 Prime XSE,Available,False,At dealer,50968,Magnetic Gray Metallic/Midnight Black Metallic Roof,Black Mixed Media,1642,Singing River Toyota,https://www.singingrivertoyota.com,True,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | Heated Rear Seats - Rear Outboard | SET Digital Portfolio | TOYOGUARD Platinum | Weather Package - Heated Leather-Trimmed
2024-09-28,JTMAB3FV4RD222596,2024,RAV4 Prime SE,Available,False,At dealer,48858,Supersonic Red [extra_cost_color],Black Fabric,1276,Toyota of Plano,https://www.toyotaofplano.com,False,** -Port Installed (AWD) | ** -Port Installed (PRM) | 50 State Emissions | Body Side Molding | Connectivity Kit | Cross Bars for Roof Rail | Door Sill Protectors | Mud Guards | PDS - with Texas State Inspection | Special Color | Spider Cargo Net | TOP PROTECTION PACK | Vehicle Fueling (4 Gal.) | Vehicle Protection Package | Weather & Moonroof Package
2024-09-28,JTMAB3FV9RD221976,2024,RAV4 Prime SE,Available,False,At dealer,48326,Ice Cap,Black Fabric,2354,Toyota of Hollywood,https://www.toyotaofhollywood.com,False,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats with Carpet Cargo Mat | Clear Paint Protection - Door Package | Multimedia Screen Protector | SET Digital Portfolio | TOYOGUARD Platinum | Weather & Moonroof Package -
2024-10-07,JTMAB3FV3RD222881,2024,RAV4 Prime SE,Available,False,At dealer,48077,Silver Sky Metallic,Black Fabric,2192,Central Florida Toyota,https://www.centralfloridatoyota.com,True,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats with Carpet Cargo Mat | Multimedia Screen Protector | SET Digital Portfolio | TOYOGUARD Platinum | Weather & Moonroof Package -
2024-10-08,JTMAB3FVXRD224093,2024,RAV4 Prime SE,Available,False,At dealer,49030,Blueprint,Black Fabric,985,Fox Toyota of El Paso,https://www.foxtoyotaofelpaso.com,False,** -Port Installed (AWD) | ** -Port Installed (PRM) | 50 State Emissions | All-Weather Liner Package: | Body Side Molding | Connectivity Kit | Cross Bars for Roof Rail | Door Sill Protectors | Mud Guards | Owner's Portfolio | PDS - Pre Delivery Services | Rear Cargo Organizer | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package: | Weather & Moonroof Package
2024-10-09,JTMAB3FV5RD225457,2024,RAV4 Prime SE,Available,False,At dealer,47627,Midnight Black Metallic,Black Fabric,1774,North Georgia Toyota,https://www.northgeorgiatoyota.com,True,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | Clear Paint Protection - Door Package | Multimedia Screen Protector | SET Digital Portfolio | Weather & Moonroof Package -
2024-10-12,JTMCB3FV4RD224860,2024,RAV4 Prime SE,Available,False,At dealer,46283,Ice Cap,Black Fabric,2189,AutoNation Toyota Winter Park,https://www.autonationtoyotawinterpark.com,True,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | Free Lifetime Powertrain Warranty | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-14,JTMAB3FV0RD225320,2024,RAV4 Prime SE,Available,False,At dealer,49030,Ice Cap,Black Fabric,1379,Shottenkirk Toyota San Antonio,https://www.shottenkirktoyotasanantonio.com,False,** -Port Installed (AWD) | ** -Port Installed (PRM) | 50 State Emissions | Body Side Molding | Connectivity Kit | Cross Bars for Roof Rail | Door Sill Protectors | Mud Guards | Owner's Portfolio | PDS - Pre Delivery Services | Premium Carpet Mat Set: | Rear Cargo Organizer | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package: | Weather & Moonroof Package
2024-10-15,JTMEB3FV0RD226078,2024,RAV4 Prime XSE,Available,False,At dealer,50986,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,1254,Shottenkirk Toyota Weatherford,https://www.shottenkirktoyotaweatherford.com,False,** -Port Installed (AWD) | ** -Port Installed (CN) | ** -Port Installed (PRM) | 50 State Emissions | All-Weather Liner Package: | Body Side Molding | Connectivity Kit | Door Sill Protectors | Mud Guards | Owner's Portfolio | PDS - with Texas State Inspection | Special Color | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024-10-17,JTMEB3FV3RD225023,2024,RAV4 Prime XSE,DealerHold,False,At dealer,50874,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,327,Gresham Toyota,https://www.greshamtoyota.com,False,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Outboard Heated Seating | Special Color | Weather Package
2024-10-18,JTMFB3FV4RD223589,2024,RAV4 Prime XSE,DealerHold,False,At dealer,53218,Magnetic Gray Metallic/Midnight Black Metallic Roof,Black SofTex®&nbsp;[softex],2105,Toyota World of Newton,https://www.newtontoyota.com,True,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Premium Package | Weather Package"
2024-10-20,JTMEB3FV9RD223616,2024,RAV4 Prime XSE,Available,False,At dealer,50561,Silver Sky Metallic/Midnight Black Metallic Roof,Black Mixed Media,1480,Don McGill Toyota of Katy,https://www.toyotaofkaty.com,False,** -Port Installed (AWD) | ** -Port Installed (CN) | ** -Port Installed (PRM) | 50 State Emissions | All-Weather Liner Package: | Body Side Molding | Connectivity Kit | Door Sill Protectors | Mud Guards | Owner's Portfolio | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024-10-22,JTMCB3FV7RD225128,2024,RAV4 Prime SE,Available,False,At dealer,46283,Midnight Black Metallic,Black Fabric,2189,AutoNation Toyota Winter Park,https://www.autonationtoyotawinterpark.com,True,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-22,JTMEB3FV1RD223853,2024,RAV4 Prime XSE,,False,At dealer,50768,Silver Sky Metallic/Midnight Black Metallic Roof,Black Mixed Media,2192,Hartford Toyota,https://www.hartfordtoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Weather Package
2024-10-22,JTMEB3FV1RD224937,2024,RAV4 Prime XSE,Available,False,At dealer,50986,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,1267,Shottenkirk Toyota Granbury,https://www.shottenkirktoyotagranbury.com,False,** -Port Installed (AWD) | ** -Port Installed (CN) | ** -Port Installed (PRM) | 50 State Emissions | All-Weather Liner Package: | Body Side Molding | Connectivity Kit | Door Sill Protectors | Mud Guards | Owner's Portfolio | PDS - with Texas State Inspection | Special Color | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024-10-23,JTMEB3FV4RD220252,2024,RAV4 Prime XSE,DealerHold,False,At dealer,51097,Silver Sky Metallic/Midnight Black Metallic Roof,Black Mixed Media,1999,Valdosta Toyota,https://www.valdostatoyota.com,False,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | Heated Rear Seats - Rear Outboard | Multimedia Screen Protector | TOYOGUARD Platinum | Weather Package - Heated Leather-Trimmed
2024-10-24,JTMAB3FV0RD224331,2024,RAV4 Prime SE,Available,False,At dealer,47658,Midnight Black Metallic,Black Fabric,2160,Star Toyota of Bayside,https://www.startoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2024-10-25,JTMAB3FV2RD227084,2024,RAV4 Prime SE,Available,False,At dealer,48774,Magnetic Gray Metallic,Black Fabric,2358,Doral Toyota,https://www.doraltoyota.com,True,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats with Carpet Cargo Mat | Clear Paint Protection - Door Package | Cross Bars | Multimedia Screen Protector | Phone Cable Charge Package | Southeast Toyota Distributor | TOYOGUARD Platinum | Weather & Moonroof Package -
2024-10-25,JTMAB3FV5RD229332,2024,RAV4 Prime SE,DealerHold,True,At dealer,47988,Magnetic Gray Metallic,Black Fabric,508,Blackstone Toyota of Fresno,https://www.blackstonetoyota.com,True,3M PROTECTION PACKAGE | 50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2024-10-25,JTMAB3FV8RD227476,2024,RAV4 Prime SE,Available,False,At dealer,47683,Silver Sky Metallic,Black Fabric,1265,Toyota of Fort Worth,https://www.toyotaoffortworth.com,False,** -Port Installed (AWD) | ** -Port Installed (PRM) | 50 State Emissions | Connectivity Kit | PDS - with Texas State Inspection | Premium Carpet Mat Set: | TFW Protection Package | Vehicle Fueling (4 Gal.) | Vehicle Protection Package | Weather & Moonroof Package
2024-10-26,JTMEB3FV4RD228061,2024,RAV4 Prime XSE,DealerHold,False,At dealer,51023,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,2138,Sun Toyota,https://www.suntoyota.com,False,50 State Emissions | 6-Gallons of Gas | Heated Rear Seats - Rear Outboard | Multimedia Screen Protector | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum | Weather Package - Heated Leather-Trimmed
2024-10-27,JTMAB3FV5RD224048,2024,RAV4 Prime SE,Available,False,At dealer,48904,Midnight Black Metallic,Black Fabric,1973,Scott Clark Toyota,https://www.scottclarkstoyota.com,True,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | Multimedia Screen Protector | Paint Protection Film - Hood & Door Package | Phone Cable Charge Package | SET Digital Portfolio | Scott Clark Advantage Package | TOYOGUARD Platinum | Weather & Moonroof Package -
